0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25758,5.2197,5.768,4.8298,0.44989,0.47995,0.42799,0.1095,0.12906,0.092145,0.012412,0.015713,0.0098909,0.0012025,0.001534,0.00095275,0.2326,0.25325,0.21414,0.23063,0.24716,0.21346,0.087735,0.10729,0.069833,0.010325,0.013625,0.0077515,0.0010037,0.0013352,0.00074897,4.9871,5.5302,4.6015,0.21927,0.24315,0.20231,0.021768,0.024138,0.020085,0.0020873,0.0023147,0.0019259,0.00019881,0.00022046
0.51515,7.7753,8.3053,7.3354,0.56419,0.5953,0.54016,0.1753,0.19565,0.15317,0.023349,0.029575,0.01846,0.0023037,0.0029634,0.0018006,0.2326,0.25325,0.21414,0.23256,0.253,0.21412,0.14238,0.16289,0.11984,0.020192,0.026414,0.015259,0.002003,0.0026624,0.0014957,7.5427,8.0692,7.1047,0.33164,0.35478,0.31237,0.032923,0.035221,0.031011,0.0031571,0.0033773,0.0029737,0.00030068,0.00032166
0.77273,9.085,9.4901,8.6875,0.62183,0.64779,0.59816,0.21505,0.23301,0.19399,0.033326,0.04213,0.026259,0.0033509,0.0043352,0.0025953,0.2326,0.25325,0.21414,0.2326,0.25324,0.21414,0.17641,0.19491,0.15519,0.029621,0.038416,0.022529,0.002998,0.0039815,0.0022401,8.8524,9.2576,8.4567,0.38923,0.40704,0.37182,0.03864,0.040409,0.036913,0.0037052,0.0038747,0.0035396,0.00035289,0.00036903
1.0303,9.7562,10.098,9.4199,0.65135,0.6726,0.62863,0.23917,0.2537,0.22083,0.042617,0.053679,0.033562,0.0043684,0.0056735,0.0033623,0.2326,0.25325,0.21414,0.2326,0.25326,0.21414,0.1976,0.2126,0.17924,0.038631,0.049681,0.029571,0.0039887,0.0052927,0.0029822,9.5236,9.8626,9.1891,0.41874,0.43364,0.40403,0.04157,0.04305,0.040109,0.0039862,0.004128,0.0038462,0.00037964,0.00039315
1.2879,10.1,10.428,9.7833,0.66647,0.68602,0.64465,0.25388,0.26741,0.23859,0.051371,0.064398,0.040512,0.0053685,0.0069907,0.0041146,0.2326,0.25325,0.21414,0.2326,0.25325,0.21414,0.2108,0.22418,0.19549,0.047241,0.060254,0.036391,0.0049752,0.0065961,0.0037221,9.8676,10.196,9.5442,0.43387,0.44832,0.41964,0.043071,0.044507,0.041659,0.0041302,0.0042677,0.0039947,0.00039334,0.00040645
1.5455,10.277,10.6,9.9579,0.67422,0.69351,0.65246,0.26287,0.27569,0.24988,0.059673,0.074397,0.047181,0.0063578,0.0082933,0.0048584,0.2326,0.25325,0.21414,0.2326,0.25325,0.21414,0.21903,0.23174,0.2065,0.055469,0.070178,0.042996,0.0059574,0.0078916,0.0044598,10.044,10.368,9.7189,0.44161,0.45587,0.42732,0.043841,0.045256,0.042421,0.004204,0.0043397,0.0040678,0.00040037,0.00041329
1.803,10.367,10.687,10.048,0.67818,0.69732,0.65643,0.26838,0.28059,0.25459,0.067574,0.083749,0.05361,0.0073393,0.0095847,0.0055969,0.2326,0.25325,0.21414,0.2326,0.25325,0.21414,0.22415,0.23656,0.20991,0.063332,0.079492,0.049393,0.0069354,0.0091792,0.0051952,10.134,10.455,9.8087,0.44558,0.45969,0.43127,0.044235,0.045636,0.042815,0.0042417,0.004376,0.0041055,0.00040398,0.00041677
2.0606,10.413,10.731,10.094,0.68022,0.69924,0.65846,0.27177,0.28492,0.25669,0.075107,0.092511,0.059821,0.0083149,0.010867,0.0063315,0.2326,0.25325,0.21414,0.2326,0.25325,0.21414,0.22734,0.24088,0.21184,0.070846,0.088233,0.055588,0.0079091,0.010459,0.0059283,10.181,10.499,9.8552,0.44762,0.46162,0.43331,0.044437,0.045827,0.043017,0.0042611,0.0043943,0.0041249,0.00040581,0.00041851
2.3182,6.3068,6.8358,5.9715,0.5011,0.52588,0.48127,0.25527,0.26843,0.23998,0.082297,0.10073,0.065829,0.0092854,0.01214,0.0070632,0.2326,0.25325,0.21414,0.2326,0.25325,0.21414,0.22797,0.24198,0.2122,0.078026,0.096438,0.061588,0.0088786,0.011731,0.0066593,6.0742,6.6039,5.7301,0.26849,0.28923,0.2466,0.027299,0.028883,0.024903,0.0042711,0.0044037,0.0041349,0.00040677,0.0004194
