0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25758,7.7144,8.5679,6.8691,0.46873,0.51943,0.39887,0.054062,0.063407,0.04268,0.0052232,0.0061543,0.0041182,0.00049778,0.00058674,0.00039244,24.996,29.498,22.646,24.844,26.659,20.936,4.9038,5.6679,3.1321,0.48129,0.55921,0.31031,0.045925,0.053383,0.029643,7.4645,8.3014,6.6169,0.22029,0.27644,0.15863,0.0050241,0.01665,0.0039614,0.00041029,0.0015246,0.00033339,3.8521e-05,0.00014455,3.1377e-05
0.51515,9.7337,10.217,9.2347,0.63832,0.67716,0.59899,0.10622,0.12297,0.08277,0.010398,0.012211,0.0080949,0.00099182,0.001166,0.00077226,24.996,29.498,22.646,24.996,29.31,22.647,9.9814,11.443,6.9201,0.99796,1.1611,0.70654,0.095323,0.11108,0.067661,9.4838,9.9749,8.9826,0.38836,0.41838,0.33972,0.0064056,0.018736,0.004805,0.00041823,0.0015611,0.00033868,3.8595e-05,0.00014678,3.139e-05
0.77273,10.261,10.652,9.8677,0.68265,0.72282,0.6568,0.15603,0.17799,0.12125,0.015562,0.018246,0.012061,0.0014858,0.001745,0.001152,24.996,29.498,22.646,24.996,29.493,22.647,14.742,16.689,10.455,1.5135,1.7632,1.1019,0.14471,0.16898,0.10576,10.011,10.407,9.6105,0.43269,0.45266,0.4102,0.008609,0.020975,0.0060402,0.00042646,0.0015761,0.00034411,3.8673e-05,0.00014695,3.1462e-05
1.0303,10.399,10.779,10.004,0.69423,0.73428,0.66842,0.20195,0.22678,0.15696,0.020714,0.024258,0.016015,0.0019796,0.0023239,0.0015316,24.996,29.498,22.646,24.996,29.498,22.647,18.96,21.007,13.69,2.0279,2.363,1.4954,0.19409,0.22685,0.14384,10.149,10.534,9.7504,0.44427,0.46146,0.42656,0.012347,0.023486,0.0079542,0.00043503,0.0015908,0.00034975,3.8691e-05,0.00014711,3.1495e-05
1.2879,10.435,10.839,10.03,0.69725,0.738,0.67124,0.2412,0.26394,0.18829,0.025855,0.030246,0.019959,0.0024734,0.0029025,0.0019111,24.996,29.498,22.646,24.996,29.498,22.647,22.245,24.035,16.588,2.5411,2.9603,1.8869,0.24346,0.2847,0.18191,10.185,10.593,9.779,0.44729,0.46475,0.42951,0.018751,0.029056,0.01109,0.00044395,0.0016059,0.00035557,3.8763e-05,0.00014718,3.1608e-05
1.5455,10.444,10.859,10.036,0.69804,0.739,0.67197,0.26974,0.28868,0.21616,0.030984,0.03621,0.02389,0.0029671,0.003481,0.0022905,24.996,29.498,22.646,24.996,29.498,22.647,24.164,25.603,19.082,3.053,3.5551,2.2765,0.29282,0.34254,0.21996,10.194,10.613,9.7843,0.44808,0.46633,0.43009,0.028101,0.037915,0.016339,0.00045315,0.0016211,0.0003615,3.8865e-05,0.00014735,3.1635e-05
1.803,10.447,10.865,10.037,0.69825,0.73925,0.67215,0.28544,0.30106,0.2398,0.0361,0.042148,0.02781,0.0034607,0.0040593,0.0026699,24.996,29.498,22.646,24.996,29.498,22.647,24.842,26.554,21.088,3.5637,4.1473,2.664,0.34217,0.40036,0.258,10.197,10.619,9.7855,0.44829,0.46681,0.43022,0.037028,0.043014,0.023028,0.0004627,0.0016365,0.00036763,3.8975e-05,0.00014754,3.1639e-05
2.0606,10.447,10.867,10.038,0.69831,0.73931,0.6722,0.29172,0.30841,0.25855,0.041202,0.048059,0.031718,0.0039541,0.0046374,0.0030491,24.996,29.498,22.646,24.996,29.498,22.647,24.976,26.9,22.64,4.073,4.7367,3.0495,0.39152,0.45816,0.29602,10.197,10.621,9.7857,0.44835,0.46695,0.43025,0.041958,0.045187,0.027494,0.00047272,0.0016521,0.00037403,3.8973e-05,0.0001477,3.167e-05
2.3182,4.058,5.0188,3.0603,0.42204,0.4685,0.37595,0.26589,0.28506,0.24217,0.046292,0.053942,0.035614,0.0044475,0.0052153,0.0034282,24.996,29.498,22.646,24.996,29.498,22.647,24.992,27.38,22.645,4.5808,5.3232,3.433,0.44085,0.51594,0.33401,3.8081,4.7705,2.7909,0.17208,0.21127,0.12505,0.015971,0.018045,0.0076832,0.00048316,0.001668,0.00038055,3.9054e-05,0.00014769,3.1665e-05
2.5758,1.2445,1.8715,0.75395,0.2949,0.33792,0.26414,0.25409,0.27721,0.23033,0.051367,0.059795,0.039487,0.0049408,0.005793,0.0038073,24.996,29.498,22.646,24.996,29.498,22.647,24.993,27.461,22.646,5.0873,5.9067,3.8143,0.49017,0.5737,0.372,0.9945,1.6213,0.48459,0.044937,0.072767,0.021838,0.0041644,0.0057217,0.0010815,0.00049393,0.001684,0.00038749,3.9114e-05,0.00014787,3.1807e-05
2.8333,0.50967,0.80863,0.35152,0.2617,0.30362,0.23661,0.25102,0.27539,0.22741,0.056427,0.065618,0.043326,0.005434,0.0063705,0.0041862,24.996,29.498,22.646,24.996,29.498,22.647,24.993,27.478,22.646,5.5921,6.487,4.1935,0.53947,0.63144,0.4099,0.25971,0.55841,0.084134,0.011736,0.025063,0.0037914,0.0010862,0.0018962,0.00014994,0.00050521,0.0017002,0.00039448,3.9278e-05,0.00014803,3.1857e-05
3.0909,0.31779,0.44255,0.26261,0.25302,0.29704,0.22897,0.25022,0.27496,0.22669,0.061471,0.071408,0.047149,0.0059271,0.0069479,0.0045651,24.996,29.498,22.646,24.996,29.498,22.647,24.993,27.482,22.646,6.0954,7.064,4.5706,0.58878,0.68916,0.44776,0.067825,0.19233,0.014608,0.0030648,0.0086324,0.00065831,0.00028333,0.00062912,2.0795e-05,0.00051698,0.0017166,0.00040175,3.9285e-05,0.0001482,3.1886e-05
3.3485,0.26767,0.31754,0.23996,0.25076,0.29547,0.22708,0.25001,0.27487,0.22652,0.0665,0.077164,0.050954,0.0064201,0.007525,0.0049438,24.996,29.498,22.646,24.996,29.498,22.647,24.993,27.483,22.646,6.5971,7.6375,4.9454,0.63808,0.74686,0.4856,0.017713,0.066246,0.0025363,0.00080036,0.0029732,0.0001143,7.3902e-05,0.0002141,2.8802e-06,0.00052925,0.0017338,0.00040927,3.9335e-05,0.00014821,3.2002e-05
